,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1949,35,9,1,1,0,-499.0,1,0,0,28,5,488,4,-1,0,3,0
1950,30,8,2,2,0,2539.0,0,0,1,5,7,199,5,-1,0,3,1
1951,29,10,2,1,0,1055.0,0,0,0,23,11,427,1,603,1,0,1
1952,49,4,1,2,0,735.0,1,0,2,13,8,50,3,-1,0,3,0
1953,32,9,2,2,0,696.0,0,1,0,13,1,101,4,105,4,0,0
1954,28,0,2,1,0,89.0,1,1,0,6,3,172,2,-1,0,3,0
1955,51,1,1,0,0,4497.0,1,0,2,15,8,276,3,-1,0,3,0
1956,49,6,2,2,0,-341.0,0,1,0,18,9,920,2,-1,0,3,0
1957,31,10,1,2,0,232.0,1,0,0,13,8,53,3,-1,0,3,0
1958,32,7,1,1,0,3360.0,1,1,0,7,1,365,5,-1,0,3,0
1959,46,4,1,2,0,0.0,0,0,0,3,7,305,13,-1,0,3,1
1961,38,9,1,1,0,196.0,0,0,0,22,1,252,2,-1,0,3,0
1962,38,6,2,1,0,677.0,1,0,0,14,8,114,2,-1,0,3,0
1963,54,7,1,1,0,2061.0,1,0,1,31,5,301,2,-1,0,3,0
1965,49,0,0,1,0,190.0,1,0,0,13,0,421,1,-1,0,3,0
1966,63,6,1,2,0,661.0,0,0,0,2,7,56,2,-1,0,3,0
1967,36,9,2,1,0,12264.0,0,0,0,11,10,285,1,182,2,2,1
1969,47,1,1,0,0,840.0,0,1,0,17,5,75000,1,-1,0,3,0
1970,34,4,2,2,0,416.0,0,0,0,14,1,1217,4,-1,0,3,0
1971,56,5,1,2,0,478.0,0,0,0,5,3,97,1,-1,0,3,0
1973,37,4,2,2,0,1572.0,0,0,0,20,1,90,6,-1,0,3,0
1974,53,9,1,3,0,2242.0,0,0,0,10,5,154,14,-1,0,3,0
1975,26,10,2,1,0,632.0,0,0,0,12,3,218,1,-1,0,3,1
1977,45,0,1,1,0,597.0,1,1,0,18,9,188,2,-1,0,3,0
1981,35,10,1,2,0,1057.0,1,0,0,8,0,902,2,-1,0,3,0
1982,50,4,1,2,0,-470.0,1,0,0,19,9,130,2,160,1,0,0
1983,47,7,0,0,0,91.0,1,0,0,17,0,473,2,339,1,0,0
1984,41,4,2,2,0,260.0,0,0,0,4,1,149,1,-1,0,3,0
1985,38,9,1,1,0,6728.0,0,0,0,21,1,252,4,-1,0,3,1
1986,33,9,2,1,0,14.0,1,0,2,12,8,188,1,-1,0,3,0
1987,28,4,1,2,0,395.0,0,0,2,21,8,178,1,-1,0,3,0
1988,32,9,2,1,0,1210.0,1,1,2,28,8,267,4,-1,0,3,0
1989,50,0,0,1,0,1364.645545435511,1,1,0,14,8,367,2,289,19,0,0
1990,36,6,2,2,0,1296.0,1,0,0,19,9,352,4,-1,0,3,0
1991,48,1,1,0,0,574.0,0,0,0,5,1,348,1,-1,0,3,0
1992,55,7,1,1,0,96.0,0,0,1,30,5,340,2,-1,0,3,0
1993,30,4,2,2,0,7845.0,1,0,2,3,6,59,1,-1,0,3,0
1994,40,1,2,1,0,393.0,1,0,2,11,6,339,2,-1,0,3,0
1995,37,1,1,1,0,11953.0,1,1,2,29,8,208,1,-1,0,3,0
1996,47,10,1,1,0,3287.0,1,1,2,17,6,126,1,-1,0,3,0
1997,33,4,1,1,0,94.0,1,0,0,17,5,62,1,-1,0,3,0
1998,56,5,1,1,0,0.0,0,1,0,7,1,110,4,-1,0,3,0
1999,46,0,2,1,0,1693.0,1,0,0,20,10,427,1,-1,0,3,1
2000,61,5,1,1,0,5196.0,0,0,1,16,7,244,2,95,4,1,0
2001,20,8,2,3,0,179.0,0,0,0,23,11,317,1,182,6,0,0
2002,39,7,1,1,0,1099.0,0,0,2,29,8,134,6,-1,0,3,0
2003,46,6,1,0,0,5442.0,1,0,0,18,5,115,4,-1,0,3,0
2004,38,3,0,1,0,70.0,0,0,0,27,10,255,3,148,1,2,1
2005,36,4,1,2,0,1257.0,0,0,0,8,3,108,9,101,1,1,0
2006,33,4,0,2,0,-848.0,1,0,1,9,3,12,2,256,2,1,0
2007,51,4,1,3,0,721.0,0,0,2,16,6,276,3,-1,0,3,0
2008,38,1,1,1,0,220.0,1,0,0,29,4,207,2,-1,0,3,0
2009,60,4,0,0,0,38.0,1,0,2,15,8,78,4,-1,0,3,0
2010,38,7,1,1,0,1364.645545435511,0,0,2,17,6,33,2,-1,0,3,0
2011,33,4,2,2,0,3170.0,0,0,0,28,10,246,2,-1,0,3,0
2012,47,4,1,2,0,24312.0,1,0,0,29,5,187,3,-1,0,3,0
2014,42,0,2,1,0,684.0,0,0,0,4,6,207,1,-1,0,3,1
2015,58,4,2,2,0,331.0,0,1,0,28,5,82,3,-1,0,3,0
2016,31,7,2,1,0,0.0,1,0,0,20,0,400,1,-1,0,3,0
2018,45,3,1,2,0,40.0,1,0,0,2,3,68,1,-1,0,3,0
2019,55,5,1,1,0,1364.645545435511,0,1,0,17,9,163,3,-1,0,3,0
2020,59,1,1,0,0,259.0,1,1,2,14,8,267,2,-1,0,3,0
2021,31,1,1,1,0,1364.645545435511,1,0,2,8,8,257,3,-1,0,3,0
2022,39,2,1,2,0,338.0,1,0,2,9,8,107,4,-1,0,3,0
2024,38,9,1,1,0,0.0,0,0,0,8,5,635,1,-1,0,3,1
2025,34,4,1,2,0,611.0,0,0,0,2,6,350,1,-1,0,3,1
2026,41,9,1,1,0,-274.0,1,0,2,27,8,182,3,-1,0,3,0
2028,28,0,1,1,0,317.0,1,0,0,15,5,673,2,-1,0,3,0
2029,58,5,1,1,0,2714.0,0,0,0,26,8,165,1,287,2,0,1
2030,35,9,1,1,0,1055.0,1,0,0,7,1,261,2,-1,0,3,0
2031,53,9,0,2,0,6503.0,1,0,0,20,9,143,1,-1,0,3,0
2032,47,7,1,1,0,1364.645545435511,1,0,2,14,8,95,6,-1,0,3,0
2033,45,1,1,1,0,953.0,1,0,2,15,8,417,3,-1,0,3,0
2034,40,1,2,0,0,45.0,1,1,0,14,5,106,4,-1,0,3,0
2035,28,4,1,2,0,247.0,0,0,0,6,3,1192,3,-1,0,3,0
2036,59,5,1,2,0,1425.0,0,0,0,26,10,151,2,77,3,0,0
2037,58,4,1,0,0,0.0,0,0,2,12,6,77,6,-1,0,3,0
2038,46,9,0,1,0,1547.0,1,0,0,3,3,401,4,-1,0,3,0
2039,60,5,1,1,0,597.0,0,0,0,15,5,981,1,-1,0,3,1
2040,33,4,2,2,0,755.0,1,0,0,28,1,68,12,-1,0,3,0
2041,39,4,2,2,0,889.0,0,0,0,20,9,78,2,185,4,0,0
2042,42,1,1,1,0,171.0,1,0,2,14,8,55,2,-1,0,3,0
2044,33,1,1,1,0,-53.0,1,0,2,20,8,172,1,-1,0,3,0
2046,30,0,0,1,0,1320.0,1,1,0,5,8,122,3,362,1,0,0
2047,34,9,0,1,0,1107.0,1,1,2,7,8,345,1,-1,0,3,0
2048,35,9,2,1,0,183.0,0,0,0,24,0,78,2,-1,0,3,0
2049,36,9,2,1,0,27.0,1,0,0,9,3,631,1,260,2,2,1
2050,34,1,2,0,0,2146.0,1,0,2,13,8,138,1,-1,0,3,0
2051,26,0,2,1,0,1690.0,0,1,0,28,5,408,3,-1,0,3,0
2052,36,1,1,1,0,1589.0,1,0,0,20,0,345,2,341,6,1,0
2053,50,9,1,1,0,1130.0,1,0,0,23,5,119,2,-1,0,3,0
2054,62,9,1,1,0,135.0,1,0,1,16,9,446,13,96,1,1,0
2055,59,5,1,1,0,-471.0,0,0,0,7,1,86,6,-1,0,3,0
2056,36,1,1,1,0,873.0,1,0,2,20,6,44,3,-1,0,3,0
2057,60,4,0,0,0,21.0,0,1,1,14,5,113,3,-1,0,3,0
2058,27,0,2,2,0,313.0,0,1,0,3,11,167,1,93,3,2,0
2059,45,1,1,1,0,-258.0,1,0,1,20,0,384,5,-1,0,3,0
2060,38,1,1,0,0,2322.0,0,0,2,19,6,207,1,-1,0,3,0
2061,30,4,2,2,0,18.0,0,0,2,20,8,121,11,-1,0,3,0
2062,42,1,1,1,0,2717.0,1,1,0,20,0,181,2,270,2,0,0
2063,54,9,1,1,0,114.0,0,0,0,30,5,458,3,-1,0,3,1
2064,54,1,1,0,0,1390.0,0,0,1,29,5,647,2,-1,0,3,0
2065,53,1,1,0,1,-462.0,0,0,0,29,4,470,1,-1,0,3,1
2066,27,0,2,1,0,242.0,1,1,2,28,8,83,1,-1,0,3,0
2067,30,1,2,3,0,194.0,1,0,2,16,8,410,1,-1,0,3,0
2068,37,6,1,1,0,744.0,1,1,0,21,1,161,3,-1,0,3,0
2070,41,4,0,2,0,8106.0,0,0,0,19,9,39,1,-1,0,3,0
2071,32,4,0,2,0,1145.0,1,0,0,11,8,580,1,350,4,2,0
2072,27,0,2,1,0,1.0,0,0,0,3,6,42,1,-1,0,3,0
2073,59,5,1,1,0,3353.0,0,0,2,12,6,148,1,-1,0,3,0
2075,34,9,1,1,0,96.0,0,0,0,18,1,113,4,-1,0,3,0
2076,32,1,1,1,0,478.0,1,0,2,3,6,200,1,-1,0,3,0
2077,43,1,1,1,0,101.0,0,0,2,6,6,153,1,-1,0,3,0
2079,31,0,2,1,0,410.0,0,0,0,25,10,182,1,185,1,2,1
2080,31,9,2,1,0,816.0,0,0,0,9,6,100,2,-1,0,3,0
2081,44,7,0,2,0,2279.0,0,1,0,19,9,105,1,146,1,0,0
2082,31,1,1,3,0,92.0,1,0,2,23,8,98,17,-1,0,3,0
2083,29,1,1,1,0,1171.0,1,0,2,28,8,565,2,-1,0,3,0
2084,29,4,1,1,0,147.0,1,1,2,7,8,376,2,-1,0,3,0
2085,31,1,1,1,0,604.0,1,0,0,18,9,394,2,-1,0,3,0
2086,49,0,2,2,0,228.0,1,0,0,3,11,252,2,93,2,2,1
2087,54,1,1,1,0,254.0,1,0,2,6,8,66,2,-1,0,3,0
2088,33,9,1,2,0,-482.0,1,0,0,29,5,90,3,-1,0,3,0
2089,51,7,1,1,0,107.0,1,0,1,13,8,99,2,369,4,0,0
2090,60,5,1,1,0,11.0,0,0,0,29,6,265,1,586,2,0,1
2091,43,4,1,2,0,3186.0,0,0,0,20,1,151,2,-1,0,3,0
2092,41,9,1,2,0,13.0,0,0,2,5,6,189,2,-1,0,3,0
2093,57,7,1,0,0,3990.0,1,0,2,15,8,309,2,-1,0,3,0
2094,55,0,1,2,0,46.0,0,0,0,29,1,59,4,-1,0,3,0
2095,60,5,0,1,0,598.0,0,1,0,8,5,96,1,-1,0,3,0
2096,36,6,1,0,0,90.0,1,0,2,8,8,403,2,-1,0,3,0
2097,30,9,2,1,0,411.0,1,0,0,16,0,948,1,-1,0,3,0
2098,47,9,1,1,0,0.0,0,0,0,19,1,203,2,-1,0,3,0
2099,38,7,1,1,0,-361.0,1,0,1,31,5,37,33,-1,0,3,0
2100,42,4,1,2,0,223.0,0,0,0,6,1,92,6,-1,0,3,0
2101,29,9,2,1,0,110.0,1,0,0,13,0,1036,1,-1,0,3,1
2102,25,0,1,1,0,7.0,1,1,0,22,5,209,3,-1,0,3,0
2103,31,4,2,2,0,34.0,0,0,0,22,1,121,1,-1,0,3,0
2104,42,0,0,1,1,723.0,0,0,0,20,9,298,2,112,2,1,0
2105,36,6,1,2,0,506.0,0,0,0,25,1,47,1,120,1,0,0
2106,42,0,1,1,0,1535.0,1,0,0,28,1,121,1,108,2,0,0
2107,62,4,1,2,0,0.0,0,0,0,13,0,113,3,182,3,0,0
2108,47,9,1,1,0,1364.645545435511,1,0,2,28,8,176,2,-1,0,3,0
2109,47,9,1,1,0,80.0,0,1,2,25,6,100,1,-1,0,3,0
2110,47,1,1,0,0,0.0,0,0,0,26,1,292,2,-1,0,3,0
2111,28,1,1,1,0,86.0,1,1,2,15,8,918,1,-1,0,3,0
2112,39,4,1,2,0,1424.0,1,0,0,12,1,254,2,-1,0,3,0
2113,35,4,1,2,0,1725.0,1,1,0,8,0,180,2,254,7,0,0
2114,36,4,2,2,0,219.0,0,0,0,3,3,22,6,196,6,0,0
2116,56,5,2,2,0,352.0,0,0,0,19,9,198,2,-1,0,3,0
2117,26,4,2,2,0,2506.0,0,0,0,18,1,134,1,82,3,0,0
2118,51,1,1,1,0,1364.645545435511,0,0,0,4,1,824,2,-1,0,3,0
2119,44,4,1,2,0,0.0,1,0,2,28,8,75000,1,-1,0,3,0
2120,51,4,1,2,0,0.0,1,0,0,15,8,60,1,343,7,0,0
2121,52,7,1,1,0,1364.645545435511,0,0,0,29,1,174,10,-1,0,3,0
2122,32,1,1,1,0,3144.0,1,0,2,23,8,348,2,-1,0,3,0
2124,40,4,1,2,0,158.0,0,0,1,30,0,712,2,-1,0,3,1
2125,35,7,2,1,0,-639.0,1,1,0,13,8,427,1,-1,0,3,0
2126,57,4,0,3,0,0.0,0,0,2,16,6,335,3,-1,0,3,0
2127,26,9,2,1,0,430.0,0,0,0,5,3,450,2,-1,0,3,0
2128,53,0,2,1,0,1364.645545435511,0,0,0,29,4,69,1,-1,0,3,0
2129,55,5,1,1,0,5.0,0,0,2,20,6,108,1,-1,0,3,0
2130,41,0,1,1,0,1364.645545435511,1,0,1,24,5,258,1,-1,0,3,0
2131,30,2,0,2,0,1192.0,0,0,0,29,4,83,2,-1,0,3,0
2132,50,1,1,0,0,2212.0,1,0,2,15,8,116,1,-1,0,3,0
2133,28,0,2,1,0,1364.645545435511,1,0,0,15,8,188,1,360,3,0,0
2134,57,6,1,3,0,964.0,0,0,2,11,6,70,5,-1,0,3,0
2135,31,4,1,2,0,6980.0,0,0,0,12,1,157,2,-1,0,3,0
2137,43,1,1,0,0,2047.0,1,0,2,13,8,163,2,-1,0,3,0
2138,32,7,2,1,0,717.0,0,0,0,30,4,462,2,-1,0,3,0
2139,29,8,2,1,0,948.0,1,0,2,6,8,75,2,-1,0,3,0
2140,31,2,1,2,0,281.0,1,0,2,6,8,206,2,-1,0,3,0
2141,33,1,1,1,0,89.0,1,0,0,18,5,278,2,-1,0,3,1
2142,29,7,2,1,0,473.0,1,1,2,9,8,180,2,-1,0,3,0
2143,57,9,1,1,0,272.0,0,1,1,22,5,563,1,-1,0,3,0
2144,28,1,1,1,0,339.0,1,0,2,26,8,100,2,-1,0,3,0
2145,43,4,0,2,0,0.0,0,0,0,9,5,134,2,-1,0,3,0
2146,58,3,1,0,0,588.0,0,1,0,4,3,171,2,-1,0,3,0
2147,32,7,1,1,0,914.0,0,0,0,29,2,434,1,197,1,2,0
2148,33,4,2,2,0,0.0,0,0,0,27,1,191,4,-1,0,3,0
2150,51,9,1,1,0,0.0,1,0,0,17,9,70,1,-1,0,3,0
2151,27,9,1,1,0,1577.0,1,1,2,28,8,266,2,-1,0,3,0
2152,40,0,2,1,0,1670.0,1,0,2,18,6,161,2,-1,0,3,0
2153,40,9,2,1,0,86.0,0,0,2,20,1,45,1,-1,0,3,0
2154,35,9,2,1,0,634.0,1,0,0,29,1,122,2,-1,0,3,0
2155,38,1,2,0,0,-5.0,1,0,2,21,8,30,12,-1,0,3,0
2156,34,1,1,1,0,6411.0,1,1,2,9,8,226,2,-1,0,3,0
2157,43,4,1,3,0,0.0,1,0,2,5,8,105,2,-1,0,3,0
2158,28,4,2,2,0,9314.0,0,0,0,2,5,276,2,-1,0,3,1
2159,36,0,1,1,0,0.0,1,0,0,21,5,93,7,-1,0,3,0
2160,39,7,1,1,0,0.0,0,0,2,5,6,251,1,-1,0,3,0
2161,28,4,2,1,0,1861.0,0,0,0,29,4,43,2,-1,0,3,0
2162,36,4,2,2,0,0.0,1,0,2,3,6,174,1,-1,0,3,0
2163,39,1,1,0,0,710.0,0,0,0,3,3,14,6,-1,0,3,0
2164,50,9,0,1,0,8016.0,0,0,0,17,5,903,4,-1,0,3,0
2165,26,9,1,2,0,192.0,1,0,0,18,5,116,1,-1,0,3,0
2166,34,3,1,1,0,0.0,1,0,2,30,10,154,1,-1,0,3,1
2167,51,4,1,2,0,22557.0,1,0,1,23,5,71,3,-1,0,3,0
2168,34,7,1,1,0,5.0,1,0,0,21,5,59,4,-1,0,3,0
2169,37,9,0,1,0,51.0,0,1,0,28,4,75000,2,-1,0,3,0
2170,37,0,1,0,0,242.0,1,0,2,8,8,161,8,-1,0,3,0
2171,29,4,2,2,0,107.0,1,0,0,21,5,149,1,-1,0,3,0
2172,41,0,1,1,0,1364.645545435511,0,1,0,8,8,86,4,-1,0,3,0
2173,35,1,1,1,0,314.0,1,0,2,2,6,464,1,-1,0,3,0
2174,37,0,1,1,0,-107.0,1,0,2,28,8,158,2,-1,0,3,0
2175,34,1,1,1,0,246.0,1,0,0,22,5,532,2,-1,0,3,0
2176,34,1,1,1,0,750.0,1,0,2,23,8,204,1,-1,0,3,0
2177,32,1,1,1,0,678.0,1,0,0,6,8,147,1,-1,0,3,0
2178,37,1,1,0,0,1364.645545435511,1,0,2,9,8,460,2,-1,0,3,0
2179,33,3,2,1,0,1363.0,0,0,1,30,6,42,1,-1,0,3,0
2180,27,8,2,1,0,1925.0,0,0,0,22,8,190,1,-1,0,3,0
2181,58,5,2,0,0,6570.0,0,0,0,21,5,106,3,-1,0,3,0
2182,39,7,1,1,0,0.0,1,0,1,10,5,29,1,-1,0,3,0
2183,40,4,1,2,0,0.0,1,0,0,30,0,571,1,-1,0,3,1
2184,44,4,1,2,0,13893.0,0,0,2,11,6,29,2,-1,0,3,0
2185,52,7,0,1,0,36.0,1,1,0,11,8,930,1,-1,0,3,1
2186,26,8,2,2,0,641.0,1,0,0,15,8,55,1,368,1,0,0
2187,59,3,1,1,0,0.0,0,0,1,5,6,153,1,-1,0,3,0
2188,39,0,0,1,0,160.0,1,0,0,5,1,156,1,-1,0,3,0
2189,42,9,0,1,0,324.0,1,0,0,27,1,203,2,-1,0,3,0
2190,50,4,0,2,0,738.0,1,1,2,29,8,68,1,-1,0,3,0
2191,32,0,2,2,0,328.0,1,1,2,26,6,271,1,-1,0,3,0
2192,62,9,1,3,0,635.0,0,0,0,22,0,292,4,247,1,1,0
2193,28,7,0,1,0,6.0,1,1,0,5,8,211,2,278,23,1,0
2194,50,4,0,2,0,5164.0,1,0,2,2,6,146,4,-1,0,3,0
2195,31,9,2,3,0,365.0,0,0,2,4,5,257,1,-1,0,3,0
2196,34,1,1,0,0,275.0,1,0,2,30,8,170,1,-1,0,3,0
2197,52,9,1,1,0,1781.0,1,0,2,19,8,144,2,-1,0,3,0
2198,44,1,1,1,1,-617.0,1,0,2,8,8,172,1,-1,0,3,0
2200,31,7,2,1,0,-45.0,0,0,2,7,8,246,2,-1,0,3,0
2201,19,8,2,3,0,779.0,0,0,0,1,0,184,4,-1,0,3,1
2202,36,0,2,1,0,507.0,1,0,0,18,8,264,1,300,2,2,0
2203,34,4,1,2,0,-304.0,1,0,2,28,8,279,2,-1,0,3,0
2204,40,9,1,1,0,317.0,1,1,2,28,8,125,1,-1,0,3,0
2205,53,1,0,0,0,4222.0,0,0,2,9,6,112,1,-1,0,3,0
2206,51,1,0,0,0,37.0,1,0,0,13,8,341,2,-1,0,3,0
2207,44,2,1,2,0,5156.0,1,0,0,4,3,54,2,-1,0,3,0
2208,34,10,1,1,0,156.0,1,0,0,5,8,136,5,-1,0,3,0
2210,36,1,1,0,0,-327.0,1,1,2,23,8,691,1,-1,0,3,0
2211,61,4,1,1,0,985.0,0,0,0,18,1,998,6,-1,0,3,1
2212,47,4,1,2,0,0.0,1,0,0,4,7,194,2,181,3,0,0
2213,32,4,2,2,0,887.0,1,0,0,24,5,53,5,-1,0,3,0
2214,55,1,1,0,0,1086.0,1,0,0,7,1,148,2,-1,0,3,0
2215,21,8,2,0,0,8278.0,0,0,0,29,10,445,1,-1,0,3,1
2216,41,1,1,0,0,512.0,1,0,2,6,8,233,2,-1,0,3,0
2217,32,4,2,2,0,1364.645545435511,0,0,0,8,5,141,4,-1,0,3,0
2218,40,1,1,1,0,438.0,0,0,0,8,1,262,5,-1,0,3,0
2219,30,9,1,1,0,2371.0,1,1,0,25,5,237,5,-1,0,3,0
2220,44,4,1,2,0,5581.0,0,0,0,8,1,202,2,-1,0,3,0
2221,29,4,1,2,0,1.0,1,0,0,17,5,695,1,-1,0,3,0
2222,25,8,2,3,0,722.0,0,0,1,21,0,623,2,-1,0,3,1
2223,40,7,1,1,0,518.0,0,0,1,17,5,84,1,-1,0,3,0
2224,30,6,2,2,0,1495.0,0,0,0,6,1,898,2,-1,0,3,0
2225,25,6,2,2,0,42.0,1,0,0,3,7,320,1,-1,0,3,1
2226,34,4,2,2,0,1228.0,0,0,0,5,3,263,8,-1,0,3,1
2227,42,6,1,2,0,10072.0,0,0,0,16,9,137,3,208,1,0,0
2228,40,10,1,1,0,1960.0,1,0,2,2,6,605,6,-1,0,3,1
2229,55,1,1,0,0,2171.0,0,0,2,5,6,138,2,-1,0,3,0
2230,49,7,1,1,0,413.0,1,1,0,29,1,175,2,-1,0,3,0
2231,49,1,1,0,0,4.0,1,1,0,2,3,161,2,-1,0,3,0
2232,52,0,1,0,0,64.0,0,0,2,20,6,9,2,-1,0,3,0
2233,40,1,1,0,0,123.0,1,0,0,15,8,55,4,-1,0,3,0
2234,31,2,2,1,0,937.0,1,0,0,9,3,51,3,-1,0,3,0
2235,32,1,2,1,0,1364.645545435511,1,0,2,9,8,190,1,-1,0,3,0
2236,48,1,1,0,0,14.0,0,1,0,7,5,120,1,-1,0,3,0
2237,30,1,1,1,0,579.0,1,1,2,2,6,381,2,-1,0,3,0
2238,39,0,2,1,0,573.0,1,0,2,7,8,329,1,-1,0,3,0
2239,27,10,1,1,0,1167.0,0,0,0,29,4,394,1,-1,0,3,0
2240,23,0,2,1,0,290.0,1,0,2,12,8,163,4,-1,0,3,0
2241,37,7,1,1,0,1092.0,0,0,2,16,6,266,1,-1,0,3,0
2242,30,0,1,1,0,67.0,1,0,2,16,8,149,1,-1,0,3,0
2243,48,6,1,2,0,0.0,0,0,0,29,4,1249,3,-1,0,3,1
2244,60,5,0,1,0,306.0,1,0,0,18,8,76,3,-1,0,3,0
2245,34,9,1,1,0,0.0,1,0,0,3,1,261,1,470,2,0,1
2246,50,1,1,0,0,403.0,0,0,0,28,1,119,6,-1,0,3,0
2247,32,9,1,1,0,11431.0,0,0,0,12,1,141,5,-1,0,3,0
2248,38,2,1,2,0,1364.645545435511,1,0,0,20,9,80,5,198,2,0,0
2249,31,3,2,2,0,596.0,0,0,1,28,4,30,1,-1,0,3,0
2250,39,0,2,1,0,720.0,1,0,1,22,0,154,8,14,5,1,0
2251,24,7,1,1,1,110.0,1,0,2,23,8,27,1,-1,0,3,0
2252,38,4,1,2,0,178.0,0,0,0,6,1,170,3,-1,0,3,0
2253,42,10,0,1,0,325.0,1,0,2,28,8,97,4,-1,0,3,0
2254,42,1,1,0,0,1520.0,1,0,0,5,3,115,1,-1,0,3,0
2256,40,6,0,1,0,172.0,1,0,0,18,9,65,1,-1,0,3,0
2257,52,1,1,1,0,782.0,1,0,2,5,8,93,2,-1,0,3,0
2259,29,1,2,0,0,1768.0,1,0,0,13,8,426,3,344,1,1,0
2261,54,7,1,0,0,198.0,1,0,0,31,5,69,3,-1,0,3,0
2262,42,9,1,1,0,534.0,0,0,0,5,1,314,1,-1,0,3,0
2263,42,10,1,3,0,190.0,0,0,0,11,1,704,2,-1,0,3,1
2264,34,1,1,1,0,-211.0,1,0,0,29,4,135,2,184,5,0,0
2265,39,0,2,2,0,23.0,0,0,2,11,6,162,3,-1,0,3,0
2266,60,5,1,1,0,2060.0,0,0,0,26,7,454,1,88,3,1,0
2267,35,9,1,1,0,1364.645545435511,1,0,2,14,8,824,2,-1,0,3,0
2268,57,9,1,1,0,1469.0,1,0,0,17,9,364,1,-1,0,3,0
2269,32,4,2,2,0,-248.0,1,1,0,6,8,109,2,315,20,1,0
2270,34,9,2,2,0,0.0,0,0,0,21,1,121,2,-1,0,3,0
2271,29,7,2,1,0,197.0,1,0,0,5,8,19,2,-1,0,3,0
2272,37,4,1,2,0,1949.0,1,0,0,12,8,328,2,-1,0,3,0
2273,36,9,1,2,0,0.0,0,0,0,22,1,147,2,-1,0,3,0
2274,39,4,1,2,0,2450.0,0,0,0,20,9,382,2,-1,0,3,0
2275,29,0,2,1,0,124.0,0,0,0,2,3,94,1,5,2,1,0
2276,59,0,1,1,0,2343.0,1,0,2,5,8,1042,1,-1,0,3,1
2278,35,9,2,1,0,127.0,0,0,0,22,1,203,1,-1,0,3,0
2280,35,0,1,1,0,846.0,1,1,2,19,8,175,2,-1,0,3,0
2281,64,9,1,1,0,1473.0,1,0,0,13,3,121,2,-1,0,3,0
2282,30,4,0,1,0,-274.0,1,1,0,19,1,166,2,-1,0,3,0
2283,42,9,1,1,0,473.0,1,0,0,7,5,216,5,-1,0,3,0
2284,34,9,1,2,0,285.0,1,1,2,29,8,223,4,-1,0,3,0
2285,29,6,2,2,0,5406.0,0,0,2,9,8,530,2,-1,0,3,0
2286,36,9,2,1,0,4136.0,1,0,2,30,8,812,3,-1,0,3,1
2287,41,1,1,1,0,393.0,1,1,0,10,5,122,1,-1,0,3,0
2288,34,9,2,1,0,1076.0,0,0,0,8,1,70,2,-1,0,3,0
2289,37,1,2,3,0,217.0,0,0,0,23,11,272,2,-1,0,3,1
2290,40,3,1,1,0,116.0,0,0,0,11,1,1099,4,-1,0,3,0
2291,43,9,2,1,0,1195.0,1,0,2,15,8,516,9,-1,0,3,0
2292,34,1,1,0,0,2720.0,1,0,0,21,9,147,2,179,3,0,0
2293,48,4,2,2,0,460.0,1,0,0,3,3,91,3,264,2,1,0
2294,31,4,1,2,0,804.0,0,0,0,21,9,128,2,-1,0,3,0
2296,45,0,1,1,0,825.0,0,0,2,19,6,140,1,-1,0,3,0
2297,25,7,2,1,0,199.0,0,0,0,16,1,111,2,95,3,1,0
2298,52,9,1,1,0,1815.0,0,0,0,6,1,131,3,-1,0,3,0
2299,42,4,1,2,0,36.0,0,0,0,21,9,664,3,-1,0,3,1
2301,31,9,2,2,0,696.0,0,1,0,11,5,184,2,-1,0,3,0
2302,41,4,1,0,0,362.0,1,0,0,12,8,217,3,-1,0,3,0
2303,28,0,2,1,0,267.0,1,0,2,11,6,198,5,-1,0,3,0
2304,33,4,1,2,0,1047.0,0,0,0,8,1,512,4,-1,0,3,1
2305,56,3,0,1,0,256.0,0,0,0,19,1,220,5,117,2,1,0
2306,33,9,1,1,0,2.0,0,0,0,28,1,385,7,-1,0,3,0
2307,35,0,2,1,0,3.0,1,0,2,28,8,330,5,-1,0,3,0
2308,34,1,2,1,0,1364.645545435511,1,0,0,21,9,55,2,-1,0,3,0
2309,50,7,1,1,0,2420.0,1,0,0,20,0,102,6,235,13,0,0
2310,37,9,1,1,0,24.0,1,0,0,13,1,136,1,105,2,0,0
2311,36,1,1,0,0,578.0,1,0,0,13,8,130,2,-1,0,3,0
2312,28,0,1,1,0,-97.0,1,0,0,13,8,129,1,-1,0,3,0
2313,31,4,1,2,0,3897.0,1,0,0,8,1,231,3,-1,0,3,0
2314,36,4,2,2,0,579.0,0,0,2,12,0,481,1,-1,0,3,1
2315,41,4,1,2,0,-195.0,0,1,0,20,9,112,1,-1,0,3,0
2316,45,7,1,1,0,520.0,1,0,2,15,8,714,4,-1,0,3,0
2317,32,4,2,2,0,469.0,1,0,0,14,8,925,1,-1,0,3,0
2318,46,1,1,0,0,-160.0,0,1,1,25,5,93,11,-1,0,3,0
2319,43,10,1,1,0,210.0,1,0,2,12,8,88,5,-1,0,3,0
2320,55,9,1,3,0,4746.0,1,0,0,21,9,237,2,182,3,0,0
2321,34,4,2,2,0,163.0,0,0,2,8,8,44,1,-1,0,3,0
2322,51,4,1,2,0,285.0,0,0,0,9,3,278,2,-1,0,3,0
2323,29,7,2,1,0,2559.0,0,0,0,4,3,214,2,-1,0,3,0
